YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2012,1,AK,Total Electric Power Industry,Total,724707
2012,1,AK,Total Electric Power Industry,Coal,59799
2012,1,AK,Total Electric Power Industry,Hydroelectric Conventional,162652
2012,1,AK,Total Electric Power Industry,Natural Gas,385256
2012,1,AK,Total Electric Power Industry,Other,0
2012,1,AK,Total Electric Power Industry,Other Biomass,109
2012,1,AK,Total Electric Power Industry,Other Gases,245
2012,1,AK,Total Electric Power Industry,Petroleum,115561
2012,1,AK,Total Electric Power Industry,Wind,1085
2012,1,AK,"Electric Generators, Independent Power Producers",Total,306
2012,1,AK,"Electric Generators, Independent Power Producers",Other,0
2012,1,AK,"Electric Generators, Independent Power Producers",Wind,306
2012,1,AK,"Electric Generators, Electric Utilities",Total,672128
2012,1,AK,"Electric Generators, Electric Utilities",Coal,18464
2012,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,162652
2012,1,AK,"Electric Generators, Electric Utilities",Natural Gas,381300
2012,1,AK,"Electric Generators, Electric Utilities",Petroleum,108933
2012,1,AK,"Electric Generators, Electric Utilities",Wind,778
2012,1,AK,"Combined Heat and Power, Industrial Power",Total,9274
2012,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,3956
2012,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,109
2012,1,AK,"Combined Heat and Power, Industrial Power",Other Gases,245
2012,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,4964
2012,1,AK,"Combined Heat and Power, Electric Power",Total,15821
2012,1,AK,"Combined Heat and Power, Electric Power",Coal,15821
2012,1,AK,"Combined Heat and Power, Commercial Power",Total,27178
2012,1,AK,"Combined Heat and Power, Commercial Power",Coal,25514
2012,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,0
2012,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,1664
2012,1,AL,Total Electric Power Industry,Total,13201660
2012,1,AL,Total Electric Power Industry,Coal,3105998
2012,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1474069
2012,1,AL,Total Electric Power Industry,Natural Gas,4579879
2012,1,AL,Total Electric Power Industry,Nuclear,3737038
2012,1,AL,Total Electric Power Industry,Other,16709
2012,1,AL,Total Electric Power Industry,Other Biomass,300
2012,1,AL,Total Electric Power Industry,Other Gases,27572
2012,1,AL,Total Electric Power Industry,Petroleum,17116
2012,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,242979
2012,1,AL,"Electric Generators, Independent Power Producers",Total,2955502
2012,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,2955387
2012,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,0
2012,1,AL,"Electric Generators, Independent Power Producers",Petroleum,115
2012,1,AL,"Electric Generators, Electric Utilities",Total,9654173
2012,1,AL,"Electric Generators, Electric Utilities",Coal,3082869
2012,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1474069
2012,1,AL,"Electric Generators, Electric Utilities",Natural Gas,1354497
2012,1,AL,"Electric Generators, Electric Utilities",Nuclear,3737038
2012,1,AL,"Electric Generators, Electric Utilities",Other Biomass,0
2012,1,AL,"Electric Generators, Electric Utilities",Petroleum,5700
2012,1,AL,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2012,1,AL,"Combined Heat and Power, Industrial Power",Total,381413
2012,1,AL,"Combined Heat and Power, Industrial Power",Coal,20072
2012,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,77121
2012,1,AL,"Combined Heat and Power, Industrial Power",Other,16709
2012,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,300
2012,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,27572
2012,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,11301
2012,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,228339
2012,1,AL,"Combined Heat and Power, Electric Power",Total,210572
2012,1,AL,"Combined Heat and Power, Electric Power",Coal,3057
2012,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,192875
2012,1,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,14640
2012,1,AR,Total Electric Power Industry,Total,5896278
2012,1,AR,Total Electric Power Industry,Coal,2750301
2012,1,AR,Total Electric Power Industry,Hydroelectric Conventional,291198
2012,1,AR,Total Electric Power Industry,Natural Gas,1335118
2012,1,AR,Total Electric Power Industry,Nuclear,1368457
2012,1,AR,Total Electric Power Industry,Other,2866
2012,1,AR,Total Electric Power Industry,Other Biomass,-535
2012,1,AR,Total Electric Power Industry,Petroleum,3222
2012,1,AR,Total Electric Power Industry,Pumped Storage,6621
2012,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,139029
2012,1,AR,"Electric Generators, Independent Power Producers",Total,1528820
