YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2015,1,AK,Total Electric Power Industry,Total,605609
2015,1,AK,Total Electric Power Industry,Coal,43856
2015,1,AK,Total Electric Power Industry,Hydroelectric Conventional,151915
2015,1,AK,Total Electric Power Industry,Natural Gas,324151
2015,1,AK,Total Electric Power Industry,Other,-195
2015,1,AK,Total Electric Power Industry,Petroleum,77285
2015,1,AK,Total Electric Power Industry,Other Biomass,3659
2015,1,AK,Total Electric Power Industry,Wind,4937
2015,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2015,1,AK,"Combined Heat and Power, Industrial Power",Total,13764
2015,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,8720
2015,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,4726
2015,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,317
2015,1,AK,"Combined Heat and Power, Commercial Power",Total,14071
2015,1,AK,"Combined Heat and Power, Commercial Power",Coal,9327
2015,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,0
2015,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,1402
2015,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,3342
2015,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2015,1,AK,"Combined Heat and Power, Electric Power",Total,16494
2015,1,AK,"Combined Heat and Power, Electric Power",Coal,16494
2015,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2015,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2015,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2015,1,AK,"Electric Generators, Independent Power Producers",Total,1687
2015,1,AK,"Electric Generators, Independent Power Producers",Wind,1687
2015,1,AK,"Electric Generators, Electric Utilities",Total,559594
2015,1,AK,"Electric Generators, Electric Utilities",Coal,18035
2015,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,151915
2015,1,AK,"Electric Generators, Electric Utilities",Natural Gas,315430
2015,1,AK,"Electric Generators, Electric Utilities",Other,-195
2015,1,AK,"Electric Generators, Electric Utilities",Petroleum,71158
2015,1,AK,"Electric Generators, Electric Utilities",Wind,3250
2015,1,AL,Total Electric Power Industry,Total,13558681
2015,1,AL,Total Electric Power Industry,Coal,3049851
2015,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1245566
2015,1,AL,Total Electric Power Industry,Natural Gas,5090784
2015,1,AL,Total Electric Power Industry,Nuclear,3859942
2015,1,AL,Total Electric Power Industry,Other Gases,2921
2015,1,AL,Total Electric Power Industry,Other,0
2015,1,AL,Total Electric Power Industry,Petroleum,15645
2015,1,AL,Total Electric Power Industry,Other Biomass,3967
2015,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,290006
2015,1,AL,"Combined Heat and Power, Industrial Power",Total,385717
2015,1,AL,"Combined Heat and Power, Industrial Power",Coal,10069
2015,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,99198
2015,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,2921
2015,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2015,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,2489
2015,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2015,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,271040
2015,1,AL,"Combined Heat and Power, Electric Power",Total,599088
2015,1,AL,"Combined Heat and Power, Electric Power",Coal,0
2015,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,580122
